From,To,Length(m),Azimuth(deg),Clino(deg)
1.0@mountaineye1.Mountaineye,-,0.00,353.88,0.00
1.0@mountaineye1.Mountaineye,-,3.28,161.73,-1.03
1.0@mountaineye1.Mountaineye,-,1.02,33.89,-0.04
1.0@mountaineye1.Mountaineye,-,2.44,109.31,-8.00
1.0@mountaineye1.Mountaineye,-,4.90,183.17,77.60
1.0@mountaineye1.Mountaineye,-,0.53,129.70,-75.69
1.0@mountaineye1.Mountaineye,1.1@mountaineye1.Mountaineye,4.46,126.48,-28.82
1.1@mountaineye1.Mountaineye,-,1.40,318.97,73.01
1.1@mountaineye1.Mountaineye,-,3.67,17.63,1.43
1.1@mountaineye1.Mountaineye,-,1.45,170.38,-11.99
1.1@mountaineye1.Mountaineye,-,0.76,291.79,-82.13
1.1@mountaineye1.Mountaineye,-,11.09,34.15,-13.10
1.1@mountaineye1.Mountaineye,1.2@mountaineye1.Mountaineye,9.38,106.35,-28.37
1.2@mountaineye1.Mountaineye,-,5.57,42.15,20.31
1.2@mountaineye1.Mountaineye,-,8.46,15.62,16.98
1.2@mountaineye1.Mountaineye,-,5.99,297.93,78.65
1.2@mountaineye1.Mountaineye,-,4.70,217.48,25.86
1.2@mountaineye1.Mountaineye,101.1@mountaineye1.Mountaineye,6.74,354.56,7.83
1.2@mountaineye1.Mountaineye,-,0.00,353.73,0.00
1.2@mountaineye1.Mountaineye,1.3@mountaineye1.Mountaineye,8.21,148.64,0.80
1.3@mountaineye1.Mountaineye,-,6.67,50.54,6.05
1.3@mountaineye1.Mountaineye,-,3.72,127.57,11.54
1.3@mountaineye1.Mountaineye,-,5.03,210.62,11.14
1.3@mountaineye1.Mountaineye,-,3.50,250.45,18.92
1.3@mountaineye1.Mountaineye,102.1@mountaineye1.Mountaineye,5.44,230.77,12.34
102.1@mountaineye1.Mountaineye,-,3.56,220.31,17.40
102.1@mountaineye1.Mountaineye,-,3.23,143.85,4.03
102.1@mountaineye1.Mountaineye,-,1.91,306.99,0.30
102.1@mountaineye1.Mountaineye,-,2.48,206.50,73.47
1.3@mountaineye1.Mountaineye,-,0.00,353.73,0.00
1.3@mountaineye1.Mountaineye,-,5.92,88.34,69.87
1.3@mountaineye1.Mountaineye,-,10.98,99.89,37.43
1.3@mountaineye1.Mountaineye,1.4@mountaineye1.Mountaineye,20.76,91.68,20.82
1.4@mountaineye1.Mountaineye,-,2.90,329.52,88.51
1.4@mountaineye1.Mountaineye,-,1.02,353.53,-84.92
1.4@mountaineye1.Mountaineye,-,15.37,253.20,-20.77
1.4@mountaineye1.Mountaineye,-,14.57,286.67,-21.95
1.4@mountaineye1.Mountaineye,-,6.83,0.91,-4.80
1.4@mountaineye1.Mountaineye,-,4.92,129.18,0.39
1.4@mountaineye1.Mountaineye,-,13.40,200.27,-26.41
1.4@mountaineye1.Mountaineye,-,21.33,240.07,-7.46
1.4@mountaineye1.Mountaineye,-,16.50,227.71,-16.79
1.4@mountaineye1.Mountaineye,1.5@mountaineye1.Mountaineye,12.50,169.70,-24.66
1.5@mountaineye1.Mountaineye,-,1.16,229.90,81.99
1.5@mountaineye1.Mountaineye,-,1.30,335.18,-76.05
1.5@mountaineye1.Mountaineye,-,5.92,232.20,0.73
1.5@mountaineye1.Mountaineye,-,0.79,60.97,13.58
1.5@mountaineye1.Mountaineye,-,6.33,18.64,5.70
1.5@mountaineye1.Mountaineye,-,6.64,152.08,0.73
1.5@mountaineye1.Mountaineye,-,11.89,56.20,4.84
1.5@mountaineye1.Mountaineye,1.6@mountaineye1.Mountaineye,11.31,179.95,13.90
1.6@mountaineye1.Mountaineye,-,6.55,107.50,77.85
1.6@mountaineye1.Mountaineye,-,2.48,336.89,-73.33
1.6@mountaineye1.Mountaineye,-,4.60,281.84,2.37
1.6@mountaineye1.Mountaineye,-,1.90,89.01,9.38
1.6@mountaineye1.Mountaineye,-,7.25,71.96,-25.71
1.6@mountaineye1.Mountaineye,-,6.92,45.99,-28.35
1.6@mountaineye1.Mountaineye,1.7@mountaineye1.Mountaineye,2.40,112.25,40.16
1.7@mountaineye1.Mountaineye,-,5.09,127.42,84.33
1.7@mountaineye1.Mountaineye,-,2.31,217.31,-47.49
1.7@mountaineye1.Mountaineye,-,3.32,166.62,8.06
1.7@mountaineye1.Mountaineye,-,1.99,352.86,0.61
1.7@mountaineye1.Mountaineye,-,3.59,184.19,0.55
1.7@mountaineye1.Mountaineye,-,3.33,145.81,24.21
1.7@mountaineye1.Mountaineye,-,7.43,144.18,37.00
1.7@mountaineye1.Mountaineye,-,5.55,243.93,5.42
1.7@mountaineye1.Mountaineye,-,6.07,7.34,29.67
1.7@mountaineye1.Mountaineye,1.8@mountaineye1.Mountaineye,13.05,103.57,22.65
1.8@mountaineye1.Mountaineye,-,0.64,34.86,-84.15
1.8@mountaineye1.Mountaineye,-,11.97,348.47,-2.82
1.8@mountaineye1.Mountaineye,-,7.05,249.05,-2.39
1.8@mountaineye1.Mountaineye,-,10.90,327.13,-40.69
1.8@mountaineye1.Mountaineye,-,11.51,303.51,-40.27
1.8@mountaineye1.Mountaineye,1.9@mountaineye1.Mountaineye,3.76,40.63,-5.02
1.9@mountaineye1.Mountaineye,-,0.23,146.70,-84.94
1.9@mountaineye1.Mountaineye,-,0.54,324.84,83.89
1.9@mountaineye1.Mountaineye,-,4.36,194.65,-0.81
1.9@mountaineye1.Mountaineye,-,11.11,28.02,-1.62
1.9@mountaineye1.Mountaineye,1.10@mountaineye1.Mountaineye,5.63,84.66,-0.59
1.10@mountaineye1.Mountaineye,-,5.30,119.27,-60.93
1.10@mountaineye1.Mountaineye,-,0.39,92.48,80.24
1.10@mountaineye1.Mountaineye,-,12.60,43.56,-0.04
1.10@mountaineye1.Mountaineye,-,6.64,170.78,-7.08
1.10@mountaineye1.Mountaineye,1.11@mountaineye1.Mountaineye,12.73,92.63,-12.12
1.11@mountaineye1.Mountaineye,-,2.62,286.62,80.21
1.11@mountaineye1.Mountaineye,-,1.24,296.45,-80.96
1.11@mountaineye1.Mountaineye,-,11.12,319.63,15.97
1.11@mountaineye1.Mountaineye,-,7.89,262.20,-26.49
1.11@mountaineye1.Mountaineye,1.12@mountaineye1.Mountaineye,10.13,37.43,-2.20
1.12@mountaineye1.Mountaineye,-,4.41,180.63,-35.89
1.12@mountaineye1.Mountaineye,-,3.49,198.37,75.04
1.12@mountaineye1.Mountaineye,-,7.46,165.69,-4.10
1.12@mountaineye1.Mountaineye,-,9.42,293.65,17.49
1.12@mountaineye1.Mountaineye,1.13@mountaineye1.Mountaineye,1.92,357.95,12.99
1.13@mountaineye1.Mountaineye,-,7.82,323.90,11.43
1.13@mountaineye1.Mountaineye,-,12.04,3.96,12.80
1.13@mountaineye1.Mountaineye,-,16.15,30.69,7.17
1.13@mountaineye1.Mountaineye,-,24.29,55.39,7.26
1.13@mountaineye1.Mountaineye,-,27.62,62.67,7.05
1.13@mountaineye1.Mountaineye,-,23.33,79.81,2.78
1.13@mountaineye1.Mountaineye,-,16.44,103.50,3.08
1.13@mountaineye1.Mountaineye,-,14.48,113.73,3.72
1.13@mountaineye1.Mountaineye,-,9.59,137.60,4.95
1.13@mountaineye1.Mountaineye,-,9.68,161.53,5.75
1.13@mountaineye1.Mountaineye,1.14@mountaineye1.Mountaineye,9.29,191.03,-9.67
1.14@mountaineye1.Mountaineye,-,2.54,79.88,85.97
1.14@mountaineye1.Mountaineye,-,1.89,194.60,-87.24
1.14@mountaineye1.Mountaineye,-,5.82,339.57,6.09
1.14@mountaineye1.Mountaineye,-,1.13,180.03,1.87
1.14@mountaineye1.Mountaineye,1.15@mountaineye1.Mountaineye,3.60,231.42,-51.33
1.15@mountaineye1.Mountaineye,-,0.90,24.95,84.44
1.15@mountaineye1.Mountaineye,-,0.42,131.08,-56.92
1.15@mountaineye1.Mountaineye,-,0.45,323.53,0.84
1.15@mountaineye1.Mountaineye,-,2.04,147.62,22.66
1.15@mountaineye1.Mountaineye,1.16@mountaineye1.Mountaineye,3.08,213.34,15.12
1.16@mountaineye1.Mountaineye,-,0.23,87.55,74.31
1.16@mountaineye1.Mountaineye,-,0.65,277.70,-82.28
1.16@mountaineye1.Mountaineye,-,0.78,152.78,0.23
1.16@mountaineye1.Mountaineye,-,2.03,302.66,-14.33
1.16@mountaineye1.Mountaineye,1.17@mountaineye1.Mountaineye,11.14,236.89,-4.97
1.17@mountaineye1.Mountaineye,-,11.13,236.81,-4.92
1.17@mountaineye1.Mountaineye,-,0.64,190.20,82.97
1.17@mountaineye1.Mountaineye,-,1.57,310.65,-31.81
1.17@mountaineye1.Mountaineye,-,1.08,139.14,14.32
1.17@mountaineye1.Mountaineye,-,2.78,315.77,1.76
1.17@mountaineye1.Mountaineye,1.18@mountaineye1.Mountaineye,15.68,226.77,1.84
1.18@mountaineye1.Mountaineye,-,0.47,41.06,85.70
1.18@mountaineye1.Mountaineye,-,2.15,105.82,-31.07
1.18@mountaineye1.Mountaineye,-,0.92,316.30,13.69
1.18@mountaineye1.Mountaineye,-,3.25,95.91,-6.83
1.18@mountaineye1.Mountaineye,1.19@mountaineye1.Mountaineye,4.38,134.45,-5.47
1.19@mountaineye1.Mountaineye,-,0.18,194.08,79.52
1.19@mountaineye1.Mountaineye,-,0.95,253.19,-85.37
1.19@mountaineye1.Mountaineye,-,0.94,68.79,-0.50
1.19@mountaineye1.Mountaineye,-,2.42,268.57,2.42
1.19@mountaineye1.Mountaineye,-,2.59,119.60,-12.87
1.19@mountaineye1.Mountaineye,-,3.01,165.90,-14.98
1.19@mountaineye1.Mountaineye,1.20@mountaineye1.Mountaineye,8.02,232.18,0.97
1.20@mountaineye1.Mountaineye,-,0.28,171.83,-77.52
1.20@mountaineye1.Mountaineye,-,0.69,96.42,79.30
1.20@mountaineye1.Mountaineye,-,2.17,135.00,14.95
1.20@mountaineye1.Mountaineye,-,2.25,305.80,17.84
1.20@mountaineye1.Mountaineye,1.21@mountaineye1.Mountaineye,11.46,186.08,4.33
1.20@mountaineye1.Mountaineye,-,2.22,123.82,14.15
1.20@mountaineye1.Mountaineye,-,0.48,2.76,29.03
1.21@mountaineye1.Mountaineye,-,0.00,353.73,0.00
1.21@mountaineye1.Mountaineye,-,5.47,307.66,0.87
1.21@mountaineye1.Mountaineye,-,1.07,139.16,-1.04
1.21@mountaineye1.Mountaineye,-,2.26,285.19,-33.62
1.21@mountaineye1.Mountaineye,-,3.24,148.16,-72.59
1.21@mountaineye1.Mountaineye,1.22@mountaineye1.Mountaineye,13.60,248.70,-1.68
1.22@mountaineye1.Mountaineye,-,0.51,309.77,87.01
1.22@mountaineye1.Mountaineye,-,1.88,168.62,-29.09
1.22@mountaineye1.Mountaineye,-,3.61,141.12,-1.36
1.22@mountaineye1.Mountaineye,-,2.49,335.14,3.72
1.22@mountaineye1.Mountaineye,-,6.99,36.99,2.59
1.22@mountaineye1.Mountaineye,1.23@mountaineye1.Mountaineye,6.70,186.03,3.04
1.23@mountaineye1.Mountaineye,-,1.46,5.97,-69.56
1.23@mountaineye1.Mountaineye,-,0.28,287.47,76.63
1.23@mountaineye1.Mountaineye,-,6.63,76.29,-3.70
1.23@mountaineye1.Mountaineye,-,3.00,229.64,3.60
1.23@mountaineye1.Mountaineye,-,9.17,264.99,0.62
1.23@mountaineye1.Mountaineye,-,10.13,295.34,-11.21
1.23@mountaineye1.Mountaineye,-,9.67,309.62,-12.34
1.23@mountaineye1.Mountaineye,1.24@mountaineye1.Mountaineye,5.07,131.08,6.21
1.24@mountaineye1.Mountaineye,-,1.30,298.01,-76.89
1.24@mountaineye1.Mountaineye,-,4.84,33.13,77.88
1.24@mountaineye1.Mountaineye,-,0.58,137.50,-21.03
1.24@mountaineye1.Mountaineye,-,1.61,321.81,1.26
1.24@mountaineye1.Mountaineye,-,3.17,241.31,-8.64
1.24@mountaineye1.Mountaineye,1.25@mountaineye1.Mountaineye,5.18,32.17,23.07
1.25@mountaineye1.Mountaineye,-,2.68,130.04,10.30
1.25@mountaineye1.Mountaineye,-,1.08,329.66,-8.14
1.25@mountaineye1.Mountaineye,-,2.61,111.95,74.85
1.25@mountaineye1.Mountaineye,-,3.42,326.45,-80.54
